LicenseSerialNumber,LicenseTypeName,LicenseClassCode,LicenseTypeCode,AgencyZoneOfficeName,AgencyZoneOfficeNumber,CountyNameLicensee,PremisesName,DBA,Address1,Address2,City,State,Zip,LicenseCertificateNumber,LicenseOriginalIssueDate,LicenseEffectiveDate,LicenseExpirationDate,Latitude,Longitude,Location,add
1010798,CLUB LIQUOR,243,CL,New York City,1,KINGS,"HEIGHTS CASINO INC,THE",,75 MONTAGUE ST,,BROOKLYN,NY,11201,845465,,3/5/2015,2/28/2017,40.69540987,-73.99632905,"(40.69540987, -73.99632905)",75 MONTAGUE ST   BROOKLYN   11201
1010803,CLUB LIQUOR,243,CL,New York City,1,KINGS,DONGANITE CORP OWNED BY,THOMAS DONGAN COUNCIL 125 C K,8122 5TH AVE,81ST AND 82ND STS,BROOKLYN,NY,11209,851182,,9/1/2015,8/31/2017,40.6248942,-74.02458471,"(40.6248942, -74.02458471)",8122 5TH AVE   BROOKLYN   11209
1010805,CLUB LIQUOR,243,CL,New York City,1,KINGS,"BAY RIDGE POST OF THE,THE",AMERICAN LEGION ASSOC INC.,343 345 78TH STREET,,BROOKLYN,NY,11209,844148,3/1/1956,3/1/2015,2/28/2017,40.62899001,-74.0271694,"(40.62899001, -74.0271694)",343 345 78TH STREET   BROOKLYN   11209
1010806,CLUB LIQUOR,243,CL,New York City,1,KINGS,BROOKLYN COLLEGE STUDENT SERVICES CORP,,E 27TH ST & CAMPUS RD,CAMPUS ROAD,BROOKLYN,NY,11210,803607,,3/18/2014,2/29/2016,40.63235603,-73.95084213,"(40.63235603, -73.95084213)",E 27TH ST & CAMPUS RD   BROOKLYN   11210
1010807,CLUB LIQUOR,243,CL,New York City,1,KINGS,POLONIA DEMOCRATIC CLUB INC,,140 GRAND ST,,BROOKLYN,NY,11249,845320,,3/3/2015,2/28/2017,40.71488423,-73.96232113,"(40.71488423, -73.96232113)",140 GRAND ST   BROOKLYN   11249
1010809,CLUB LIQUOR,243,CL,New York City,1,KINGS,BEN MA CHREE INC,,1934 SHORE PKWY,,BROOKLYN,NY,11214,845181,,3/1/2015,2/28/2017,40.58861262,-73.99290912,"(40.58861262, -73.99290912)",1934 SHORE PKWY   BROOKLYN   11214
1010810,CLUB LIQUOR,243,CL,New York City,1,KINGS,EXCELSIOR YACHT CLUB,,1902 SHORE PKWY,,BROOKLYN,NY,11214,844552,,3/1/2015,2/28/2017,40.58949455,-73.99334001,"(40.58949455, -73.99334001)",1902 SHORE PKWY   BROOKLYN   11214
1010811,CLUB LIQUOR,243,CL,New York City,1,KINGS,KINGS COUNTY LODGE 168,LOYAL ORD MOOSE BKN N Y INC,7709 18TH AVE,,BROOKLYN,NY,11214,844681,,3/1/2015,2/28/2017,40.61210971,-73.99718017,"(40.61210971, -73.99718017)",7709 18TH AVE   BROOKLYN   11214
1010812,CLUB LIQUOR,243,CL,New York City,1,KINGS,1380 MC FADDEN BROS POST,AMERICAN LEGION,290 PROSPECT PARK WEST,,BROOKLYN,NY,11215,844456,,3/1/2015,2/28/2017,40.65775477,-73.98290243,"(40.65775477, -73.98290243)",290 PROSPECT PARK WEST   BROOKLYN   11215
1010813,CLUB LIQUOR,243,CL,New York City,1,KINGS,MICHAEL A RAWLEY JR,POST 1636 AMERICAN LEGION,193 9TH STREET,,BROOKLYN,NY,11215,844569,11/21/1963,3/1/2015,2/28/2017,40.67132324,-73.99059339,"(40.67132324, -73.99059339)",193 9TH STREET   BROOKLYN   11215
1010814,CLUB LIQUOR,243,CL,New York City,1,KINGS,MONTAUK CLUB,,25 8TH AVENUE,,BROOKLYN,NY,11215,844720,,3/1/2015,2/28/2017,40.6730489,-73.99241722,"(40.6730489, -73.99241722)",25 8TH AVENUE   BROOKLYN   11215
1010815,CLUB LIQUOR,243,CL,New York City,1,KINGS,PROSPECTUS INC,KNIGHTS OF COLUMBUS #4783,1511 10TH AVENUE,,BROOKLYN,NY,11215,853102,,9/4/2015,2/28/2017,40.65927442,-73.97791466,"(40.65927442, -73.97791466)",1511 10TH AVENUE   BROOKLYN   11215
1010818,CLUB LIQUOR,243,CL,New York City,1,KINGS,DANISH ATHLETIC CLUB INC,,735 41 65TH STREET,,BROOKLYN,NY,11220,848929,,4/14/2015,2/28/2017,40.64705623,-73.99983602,"(40.64705623, -73.99983602)",735 41 65TH STREET   BROOKLYN   11220
1010819,CLUB LIQUOR,243,CL,New York City,1,KINGS,SPORTING CLUB GJOA INC,,850 62ND STREET,,BROOKLYN,NY,11220,844629,,3/1/2015,2/28/2017,40.6336088,-74.00965225,"(40.6336088, -74.00965225)",850 62ND STREET   BROOKLYN   11220
1010820,CLUB LIQUOR,243,CL,New York City,1,KINGS,SWEDISH FOOTBALL CLUB INC,,725 65TH ST,,BROOKLYN,NY,11220,844863,,3/1/2015,2/28/2017,40.63365897,-74.01413329,"(40.63365897, -74.01413329)",725 65TH ST   BROOKLYN   11220
1010822,CLUB LIQUOR,243,CL,New York City,1,KINGS,BKLYN SLOVAK AMERICAN,CITIZEN CLUB INC,619 MANHATTAN AVE,,BROOKLYN,NY,11222,844754,,3/1/2015,2/28/2017,40.7235679,-73.95074649,"(40.7235679, -73.95074649)",619 MANHATTAN AVE   BROOKLYN   11222
1010826,CLUB LIQUOR,243,CL,New York City,1,KINGS,ST STANISLAUS MEMORIAL ASSN,OF THE AMERICAN LEGION,519 LEONARD STREET,,BROOKLYN,NY,11222,788599,,3/1/2014,2/29/2016,40.72280901,-73.9493088,"(40.72280901, -73.9493088)",519 LEONARD STREET   BROOKLYN   11222
1010829,CLUB LIQUOR,243,CL,New York City,1,KINGS,KNIGHTS OF COLUMBUS,JOHN HUGHES CLUB,1305 86TH STREET,,BROOKLYN,NY,11228,844491,10/1/1939,3/1/2015,2/28/2017,40.61401456,-74.01375258,"(40.61401456, -74.01375258)",1305 86TH STREET   BROOKLYN   11228
1010830,CLUB LIQUOR,243,CL,New York City,1,KINGS,SHENANDOAH VALLEY CLUB INC,,8415 8417 7TH AVENUE,,BROOKLYN,NY,11228,847633,2/19/1959,3/9/2015,2/28/2017,40.61984297,-74.0205827,"(40.61984297, -74.0205827)",8415 8417 7TH AVENUE   BROOKLYN   11228
1010831,CLUB LIQUOR,243,CL,New York City,1,KINGS,ARGONNE MARINE PARK,MEMORIAL ASSN INC,2414 GERRITSEN AVE,,BROOKLYN,NY,11229,788805,,3/1/2014,2/29/2016,40.59818328,-73.93118145,"(40.59818328, -73.93118145)",2414 GERRITSEN AVE   BROOKLYN   11229
1010832,CLUB LIQUOR,243,CL,New York City,1,KINGS,FRIENDS OF COLUMBUS COUNCL INC,,3051 NOSTRAND AVE,,BROOKLYN,NY,11229,802826,,3/1/2014,2/29/2016,40.60995514,-73.94358116,"(40.60995514, -73.94358116)",3051 NOSTRAND AVE   BROOKLYN   11229
1010833,CLUB LIQUOR,243,CL,New York City,1,KINGS,GERRITTSEN BEACH,CATHOLIC CLUB INC,2882 GERRITTSEN AVE,,BROOKLYN,NY,11229,834767,1/28/2002,4/18/2014,2/29/2016,40.59010353,-73.92215231,"(40.59010353, -73.92215231)",2882 GERRITTSEN AVE   BROOKLYN   11229
1010837,CLUB LIQUOR,243,CL,New York City,1,KINGS,FLATLANDS CHRISTIAN CENTER INC,,3915 FLATLANDS AVE,,BROOKLYN,NY,11234,844254,,3/1/2015,2/28/2017,40.62209456,-73.93412725,"(40.62209456, -73.93412725)",3915 FLATLANDS AVE   BROOKLYN   11234
1010838,CLUB LIQUOR,243,CL,New York City,1,KINGS,FLOYD BENNETT WORLD WAR,MEMORIAL INC,5601 AVE N,,BROOKLYN,NY,11234,843784,3/13/1958,3/1/2015,2/28/2017,40.61935874,-73.92108013,"(40.61935874, -73.92108013)",5601 AVE N   BROOKLYN   11234
1010839,CLUB LIQUOR,243,CL,New York City,1,KINGS,HUDSON RIVER YACHT CLUB INC,,AVE U & BERGEN AVE,PARRDEGAT BASIN,BROOKLYN,NY,11234,844158,2/17/1955,3/1/2015,2/28/2017,40.62220501,-73.90383697,"(40.62220501, -73.90383697)",AVE U & BERGEN AVE   BROOKLYN   11234
1010840,CLUB LIQUOR,243,CL,New York City,1,KINGS,KNIGHTS OF BARON DE KALB INC,,3000 EMMONS AVE,,BROOKLYN,NY,11235,848095,,3/19/2015,2/28/2017,40.58377133,-73.93873357,"(40.58377133, -73.93873357)",3000 EMMONS AVE   BROOKLYN   11235
1010841,CLUB LIQUOR,243,CL,New York City,1,KINGS,SHEEPSHEAD BAY YACHT CLUB INC,,3076 EMMONS AVE,,BROOKLYN,NY,11235,848254,,3/25/2015,2/28/2017,40.5838492,-73.93645137,"(40.5838492, -73.93645137)",3076 EMMONS AVE   BROOKLYN   11235
1010842,CLUB LIQUOR,243,CL,New York City,1,KINGS,VARUNA BOAT CLUB INC,,2806 EMMONS AVE,,BROOKLYN,NY,11235,844620,,3/1/2015,2/28/2017,40.58369757,-73.94062394,"(40.58369757, -73.94062394)",2806 EMMONS AVE   BROOKLYN   11235
1010843,CLUB LIQUOR,243,CL,New York City,1,KINGS,CANARSIE POST COMMUNITY,MEMORIAL ASSN INC,1130 E 92ND STREET,,BROOKLYN,NY,11236,846250,2/9/1961,3/1/2015,2/28/2017,40.64188171,-73.90562488,"(40.64188171, -73.90562488)",1130 E 92ND STREET   BROOKLYN   11236
1010845,CLUB LIQUOR,243,CL,New York City,1,KINGS,MIDGET SQUADRON OF,JAMAICA BAY INC,1 SEAVIEW AVE,PAERDEGAT BASIN,BROOKLYN,NY,11236,844455,2/20/2009,3/1/2015,2/28/2017,40.62572154,-73.9010526,"(40.62572154, -73.9010526)",1 SEAVIEW AVE   BROOKLYN   11236
1010846,CLUB LIQUOR,243,CL,New York City,1,KINGS,ARIES FRIENDS LTD,SIEMPRE AMIGOS,629 FRANKLIN AVE,,BROOKLYN,NY,11238,855748,,1/1/2016,12/31/2017,40.67688136,-73.95563678,"(40.67688136, -73.95563678)",629 FRANKLIN AVE   BROOKLYN   11238
1011707,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,BHRC CORP,,151 MONTAGUE STREET,,BROOKLYN,NY,11201,803293,,4/1/2014,3/31/2016,40.69459573,-73.99337435,"(40.69459573, -73.99337435)",151 MONTAGUE STREET   BROOKLYN   11201
1011711,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,BROOKLYN SPORTS LTD,CODY'S ALE HOUSE GRILL,154 COURT STREET,,BROOKLYN,NY,11201,847720,,4/1/2015,3/31/2017,40.68867198,-73.99293116,"(40.68867198, -73.99293116)",154 COURT STREET   BROOKLYN   11201
1011728,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,GMS RESTAURANT CORP,HEIGHTS CAFE,84 MONTAGUE STREET,,BROOKLYN,NY,11201,849067,,5/1/2015,4/30/2017,40.69518105,-73.9959245,"(40.69518105, -73.9959245)",84 MONTAGUE STREET   BROOKLYN   11201
1011738,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,MONTERO BAR & GRILL INC,,73 ATLANTIC AVE,,BROOKLYN,NY,11201,834299,,3/1/2014,2/29/2016,40.69129655,-73.99778604,"(40.69129655, -73.99778604)",73 ATLANTIC AVE   BROOKLYN   11201
1011739,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,NOODLE PUDDING INC,NOODLE PUDDING,38 40 HENRY STREET,,BROOKLYN,NY,11201,845381,,4/1/2015,3/31/2017,40.65447398,-74.01080185,"(40.65447398, -74.01080185)",38 40 HENRY STREET   BROOKLYN   11201
1011741,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,PSB SATELLITES LTD,HENRY STREET ALE HOUSE,62 HENRY ST BKLYN HGHTS ANNEX,,BROOKLYN,NY,11201,843419,,3/1/2015,2/28/2017,40.69905332,-73.99231715,"(40.69905332, -73.99231715)",62 HENRY ST BKLYN HGHTS ANNEX   BROOKLYN   11201
1011742,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,PARK PLAZA RESTAURANT INC,,220 CADMAN PLAZA WEST,,BROOKLYN,NY,11201,802652,,3/1/2014,2/29/2016,40.69760647,-73.99155152,"(40.69760647, -73.99155152)",220 CADMAN PLAZA WEST   BROOKLYN   11201
1011747,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,RIEZVEE RESTAURANT INC,,44 HENRY STREET,,BROOKLYN,NY,11201,788610,,3/1/2014,2/29/2016,40.69961592,-73.99204419,"(40.69961592, -73.99204419)",44 HENRY STREET   BROOKLYN   11201
1011756,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,TBT RESTAURANT CORP,TERESAS RESTAURANT,80 MONTAGUE STREET,,BROOKLYN,NY,11201,835898,,6/1/2014,5/31/2016,40.69522784,-73.99609359,"(40.69522784, -73.99609359)",80 MONTAGUE STREET   BROOKLYN   11201
1011786,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,ANTHONY VERTOLOMO INC,LA PALINA RESTAURANT,159 161 AVE O,,BROOKLYN,NY,11204,844716,,3/1/2015,2/28/2017,40.61081906,-73.97886027,"(40.61081906, -73.97886027)",159 161 AVE O   BROOKLYN   11204
1011810,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,BAG OF DOBBERS INC,,242 DEKALB AVENUE,,BROOKLYN,NY,11205,844238,12/15/1995,3/1/2015,2/28/2017,40.68942558,-73.96945962,"(40.68942558, -73.96945962)",242 DEKALB AVENUE   BROOKLYN   11205
1011815,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,FIVE SPOT SOUL FOOD INC,,459 MYRTLE AVE,,BROOKLYN,NY,11205,856476,,12/3/2015,11/30/2017,40.69339568,-73.9670099,"(40.69339568, -73.9670099)",459 MYRTLE AVE   BROOKLYN   11205
1011816,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,MADIBA CORPORATION,MADIBA,195 DEKALB AVE,,BROOKLYN,NY,11205,853605,,10/1/2015,9/30/2017,40.68962284,-73.97179048,"(40.68962284, -73.97179048)",195 DEKALB AVE   BROOKLYN   11205
1011817,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,LA CANTINA PARK INC,THE GENERAL GREENE,229 DEKALB AVENUE,,BROOKLYN,NY,11205,835756,6/24/1997,6/1/2014,5/31/2016,40.689562,-73.97015791,"(40.689562, -73.97015791)",229 DEKALB AVENUE   BROOKLYN   11205
1011829,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,WALDO SOTO,LA CASA CLASICA,116 MESEROLE STREET,,BROOKLYN,NY,11206,837040,,7/23/2014,4/30/2016,NA,NA,,116 MESEROLE STREET   BROOKLYN   11206
1011834,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,ATLANTIC PALACE ENTERPRISES INC,ATLANTIC PALACE,2863 ATLANTIC AVENUE,,BROOKLYN,NY,11207,845292,10/28/1991,3/2/2015,2/28/2017,40.67707608,-73.88858821,"(40.67707608, -73.88858821)",2863 ATLANTIC AVENUE   BROOKLYN   11207
1011860,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,2870 LINDEN BOULEVARD INC,,2870 LINDEN BLVD,,BROOKLYN,NY,11208,847412,,8/1/2015,7/31/2017,40.66990226,-73.85811014,"(40.66990226, -73.85811014)",2870 LINDEN BLVD   BROOKLYN   11208
1011863,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,AREO RESTAURANT CORP,AREO,8422 8420 3RD AVENUE,,BROOKLYN,NY,11209,803679,,4/1/2014,3/31/2016,40.62487442,-74.03056402,"(40.62487442, -74.03056402)",8422 8420 3RD AVENUE   BROOKLYN   11209
1011875,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,CAPTIVA ENTERPRISES INC,CAPPUCCINO CAFE,7721 3RD AVE,,BROOKLYN,NY,11209,855901,6/25/2003,1/1/2016,12/31/2017,40.62985553,-74.02844569,"(40.62985553, -74.02844569)",7721 3RD AVE   BROOKLYN   11209
1011894,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,GORM REST INC,HUNTER'S STEAK & ALE HOUSE,9404 4TH AVENUE,,BROOKLYN,NY,11209,848115,4/10/2013,5/1/2015,4/30/2017,40.61666152,-74.03093593,"(40.61666152, -74.03093593)",9404 4TH AVENUE   BROOKLYN   11209
1011896,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,JAB ENTERPRISES INC,GREENHOUSE CAFE,7715 7717 7719 3RD AVENUE,,BROOKLYN,NY,11209,845102,,3/1/2015,2/28/2017,40.62985279,-74.02837117,"(40.62985279, -74.02837117)",7715 7717 7719 3RD AVENUE   BROOKLYN   11209
1011906,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,LACONIAN ENTERPRISES LTD,ELIA,8611 3RD AVENUE,,BROOKLYN,NY,11209,852974,,10/1/2015,9/30/2017,40.62334951,-74.03103636,"(40.62334951, -74.03103636)",8611 3RD AVENUE   BROOKLYN   11209
1011909,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,MARIA LOUISA RESTAURANT INC,,343 101ST STREET,,BROOKLYN,NY,11209,846714,,6/1/2015,5/31/2017,40.61257998,-74.03454832,"(40.61257998, -74.03454832)",343 101ST STREET   BROOKLYN   11209
1011910,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,MARNI ENTERPRISES INC,,8620 3RD AVENUE,,BROOKLYN,NY,11209,852611,,9/1/2015,8/31/2017,40.62331376,-74.03120265,"(40.62331376, -74.03120265)",8620 3RD AVENUE   BROOKLYN   11209
1011912,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,MEZCALS DOS RESTAURANT CORP,,7508 3RD AVENUE,,BROOKLYN,NY,11209,836507,,8/1/2014,7/31/2016,40.6313995,-74.0278856,"(40.6313995, -74.0278856)",7508 3RD AVENUE   BROOKLYN   11209
1011920,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,NICO NADIA RESTAURANT CORP,INDIA PASSAGE,7407 3RD AVE,,BROOKLYN,NY,11209,842259,12/11/1989,12/1/2014,11/30/2016,40.63207363,-74.02746693,"(40.63207363, -74.02746693)",7407 3RD AVE   BROOKLYN   11209
1011922,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,O SULLIVANS PUB & GRUB LTD,,8902 3RD AVENUE,,BROOKLYN,NY,11209,850870,,8/1/2015,7/31/2017,40.62133308,-74.03202195,"(40.62133308, -74.03202195)",8902 3RD AVENUE   BROOKLYN   11209
1011923,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,OLD WORLD HOLDINGS INC,DELIAS LOUNGE,9224 3RD AVE,,BROOKLYN,NY,11209,853060,,10/1/2015,9/30/2017,40.61879147,-74.03303318,"(40.61879147, -74.03303318)",9224 3RD AVE   BROOKLYN   11209
1011926,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,PAMS BAR INC,P C'S BAR,7215 5TH AVENUE,,BROOKLYN,NY,11209,852622,,9/1/2015,8/31/2017,40.63156965,-74.02171802,"(40.63156965, -74.02171802)",7215 5TH AVENUE   BROOKLYN   11209
1011927,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,PIZZERIA UNO OF BAY RIDGE INC,UNO CHICAGO GRILL,9201 4TH AVENUE,,BROOKLYN,NY,11209,804500,4/11/2012,5/1/2014,4/30/2016,40.61830114,-74.03011771,"(40.61830114, -74.03011771)",9201 4TH AVENUE   BROOKLYN   11209
1011940,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,STEGER RESTAURANT INC,CHADWICKS,8822 8824 3RD AVENUE,,BROOKLYN,NY,11209,851669,,9/1/2015,8/31/2017,40.62189039,-74.03179237,"(40.62189039, -74.03179237)",8822 8824 3RD AVENUE   BROOKLYN   11209
1011942,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,TEREUS CAFE INC,OMONIA CAFE,7612 14 3RD AVENUE,,BROOKLYN,NY,11209,803578,6/25/2002,4/1/2014,3/31/2016,40.61832551,-74.0059903,"(40.61832551, -74.0059903)",7612 14 3RD AVENUE   BROOKLYN   11209
1011953,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,VEREA RESTAURANT CORP,SANCHOS,7410 3RD AVENUE,,BROOKLYN,NY,11209,838862,,10/1/2014,9/30/2016,40.63207869,-74.02761546,"(40.63207869, -74.02761546)",7410 3RD AVENUE   BROOKLYN   11209
1011959,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,7221 SOMEPLACE ELSE LTD,,7221 3RD AVENUE,,BROOKLYN,NY,11209,852887,,10/1/2015,9/30/2017,40.63334817,-74.02694324,"(40.63334817, -74.02694324)",7221 3RD AVENUE   BROOKLYN   11209
1011961,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,7525 WILD ROVER CORP,THE BEAN POST,7525 5TH AVE,,BROOKLYN,NY,11209,803150,,3/3/2014,2/29/2016,40.6292662,-74.02264763,"(40.6292662, -74.02264763)",7525 5TH AVE   BROOKLYN   11209
1011980,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,8812 8814 RESTAURANT CORP,ARIRANG HIBACHI STEAKHOUSE,8812 8814 4TH AVENUE,& SUSHI BAR,BROOKLYN,NY,11209,845436,4/15/1993,4/1/2015,3/31/2017,40.62117368,-74.02909129,"(40.62117368, -74.02909129)",8812 8814 4TH AVENUE   BROOKLYN   11209
1011987,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,9715 KILDARE INC,KITTY KIERNANS,9715 9717 3RD AVENUE,,BROOKLYN,NY,11209,842083,,1/1/2015,12/31/2016,40.61568932,-74.03414078,"(40.61568932, -74.03414078)",9715 9717 3RD AVENUE   BROOKLYN   11209
1011998,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,BERES BAR & PUB INC,MUGS ALEHOUSE,125 BEDFORD AVENUE,,BROOKLYN,NY,11211,847348,,8/1/2015,7/31/2017,40.7194773,-73.95586374,"(40.7194773, -73.95586374)",125 BEDFORD AVENUE   BROOKLYN   11211
1012005,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,FROST RESTAURANT INC,,193 FROST ST,,BROOKLYN,NY,11211,844930,,3/1/2015,2/28/2017,40.7182866,-73.94334305,"(40.7182866, -73.94334305)",193 FROST ST   BROOKLYN   11211
1012008,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,GIANDO ON THE WATER INC,GIANDO ON THE WATER,412 420 KENT AVENUE,,BROOKLYN,NY,11211,843144,,2/1/2015,1/31/2017,40.71007379,-73.96859038,"(40.71007379, -73.96859038)",412 420 KENT AVENUE   BROOKLYN   11211
1012019,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,MARLOW INC,THE DINER,85 BROADWAY,,BROOKLYN,NY,11249,842679,,1/1/2015,12/31/2016,40.71063977,-73.96558619,"(40.71063977, -73.96558619)",85 BROADWAY   BROOKLYN   11249
1012029,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,T C K MANAGEMENT INC,,1089 GRAND STREET,,BROOKLYN,NY,11211,837064,,9/1/2014,8/31/2016,40.71400512,-73.93256571,"(40.71400512, -73.93256571)",1089 GRAND STREET   BROOKLYN   11211
1012031,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,"TURKEYS NEST INC,THE",,94 BEDFORD AVE,,BROOKLYN,NY,11249,788661,,3/1/2014,2/29/2016,40.72061216,-73.95482283,"(40.72061216, -73.95482283)",94 BEDFORD AVE   BROOKLYN   11249
1012032,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,"709 LORIMER ST REST CORP, THE",PETE'S CANDY STORE,709 LORIMER STREET,,BROOKLYN,NY,11211,854855,10/1/1999,11/1/2015,10/31/2017,40.71815589,-73.95010669,"(40.71815589, -73.95010669)",709 LORIMER STREET   BROOKLYN   11211
1012043,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,536 DRIGGS AVE CORP,THE ABBEY,536 DRIGGS AVE,,BROOKLYN,NY,11211,842134,,12/1/2014,11/30/2016,40.7174675,-73.95606917,"(40.7174675, -73.95606917)",536 DRIGGS AVE   BROOKLYN   11211
1012052,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,BENSONHURST REST CORP,VEGAS DINER,1619 86TH STREET,,BROOKLYN,NY,11214,788949,,3/1/2014,2/29/2016,40.60978244,-74.00670672,"(40.60978244, -74.00670672)",1619 86TH STREET   BROOKLYN   11214
1012059,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,GOAL POST LTD,THE GOAL POST,1752 BATH AVENUE,,BROOKLYN,NY,11214,849611,,5/26/2015,4/30/2017,40.60427712,-74.00691252,"(40.60427712, -74.00691252)",1752 BATH AVENUE   BROOKLYN   11214
1012063,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,NEW RUANS RESTAURANT CORP,,1955 86TH ST,,BROOKLYN,NY,11214,833840,,1/1/2014,12/31/2015,40.60509469,-73.99906647,"(40.60509469, -73.99906647)",1955 86TH ST   BROOKLYN   11214
1012080,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,HOOLEYS OF BROOKLYN INC,FARRELLS,215 PROSPECT PARK WEST,AKA 440  16TH STREET,BROOKLYN,NY,11215,850716,,9/1/2015,8/31/2017,40.66035058,-73.98032618,"(40.66035058, -73.98032618)",215 PROSPECT PARK WEST   BROOKLYN   11215
1012083,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,K J S P M K A INC,RHYTHM & BOOZE,1674 10TH AVE,,BROOKLYN,NY,11215,855393,,11/4/2015,10/31/2017,40.65760865,-73.97945753,"(40.65760865, -73.97945753)",1674 10TH AVE   BROOKLYN   11215
1012088,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,MEZCALS OF 5TH AVE REST CORP,MEZCALS,223 5TH AVENUE,,BROOKLYN,NY,11215,836506,,8/1/2014,7/31/2016,40.67578287,-73.98083748,"(40.67578287, -73.98083748)",223 5TH AVENUE   BROOKLYN   11215
1012089,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,MICHAEL HALKIAS,PROSPECT HALL,263 273 PROSPECT AVE,,BROOKLYN,NY,11215,803214,,3/5/2014,2/29/2016,40.66351865,-73.98938551,"(40.66351865, -73.98938551)",263 273 PROSPECT AVE   BROOKLYN   11215
1012097,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,OXIS OCNI REST INC,SANTA FE GRILL,60 7TH AVE,,BROOKLYN,NY,11217,854667,,11/1/2015,10/31/2017,40.67575048,-73.97456386,"(40.67575048, -73.97456386)",60 7TH AVE   BROOKLYN   11217
1012101,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,PSB SATELLITES LTD,PARK SLOPE ALE HOUSE,356 6TH AVE,,BROOKLYN,NY,11215,848064,5/1/2003,5/1/2015,4/30/2017,40.67049473,-73.98197164,"(40.67049473, -73.98197164)",356 6TH AVE   BROOKLYN   11215
1012112,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,SOLTONE INC,JOHNNY MACKS,1114 1116 8TH AVENUE,,BROOKLYN,NY,11215,849699,,6/1/2015,5/31/2017,40.66446272,-73.98036136,"(40.66446272, -73.98036136)",1114 1116 8TH AVENUE   BROOKLYN   11215
1012114,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,TAURASI INC,SOTO VOCE,453 4TH ST AKA 225 7TH AVE,,BROOKLYN,NY,11215,841647,,1/1/2015,12/31/2016,40.66998877,-73.9790778,"(40.66998877, -73.9790778)",453 4TH ST AKA 225 7TH AVE   BROOKLYN   11215
1012118,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,VENGER INC,LOKI LOUNGE & BENCHMARK RESTAURANT,304 5TH AVE,SUITE 1,BROOKLYN,NY,11215,856348,10/15/2015,12/1/2015,11/30/2017,40.67341633,-73.98276383,"(40.67341633, -73.98276383)",304 5TH AVE   BROOKLYN   11215
