LicenseSerialNumber,LicenseTypeName,LicenseClassCode,LicenseTypeCode,AgencyZoneOfficeName,AgencyZoneOfficeNumber,CountyNameLicensee,PremisesName,DBA,Address1,Address2,City,State,Zip,LicenseCertificateNumber,LicenseOriginalIssueDate,LicenseEffectiveDate,LicenseExpirationDate,Latitude,Longitude,Location,add
1222677,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,ONTARIO BAR LLC,,559 GRAND ST,LORIMER AND UNION STREETS,BROOKLYN,NY,11211,851159,9/18/2009,9/1/2015,8/31/2017,40.71117548,-73.94932869,"(40.71117548, -73.94932869)",559 GRAND ST   BROOKLYN   11211
1222688,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,PAYAM INC,COLBEH RESTAURANT,32 W 39TH STREET,,NEW YORK,NY,10018,803048,8/3/2009,3/1/2014,2/29/2016,40.75193797,-73.98328308,"(40.75193797, -73.98328308)",32 W 39TH STREET   NEW YORK   10018
1222700,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,BANNA STRAND LLC,BAILEY'S CORNER PUB,1607 YORK AVENUE,84TH AND 85TH STREETS,NEW YORK,NY,10028,850241,7/15/2009,7/1/2015,6/30/2017,40.77502271,-73.94784944,"(40.77502271, -73.94784944)",1607 YORK AVENUE   NEW YORK   10028
1222741,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,PLAY EARTH INC,BOHEMIAN NY,57 GREAT JONES STREET,LAFAYETTE STREET & THE BOWERY,NEW YORK,NY,10012,850574,7/20/2009,7/1/2015,6/30/2017,40.72681339,-73.99283273,"(40.72681339, -73.99283273)",57 GREAT JONES STREET   NEW YORK   10012
1222879,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,GHANG THAI FOOD SERVICES LLC,,229 COURT STREET,WARREN STREET & BALTIC STREET,BROOKLYN,NY,11201,852901,9/24/2009,9/1/2015,8/31/2017,40.6861841,-73.99398039,"(40.6861841, -73.99398039)",229 COURT STREET   BROOKLYN   11201
1223003,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,DON MARCOS CORP,RANCHO ALEGRE,161 7TH AVE  2ND FLOOR,7TH AVENUE AND 8TH AVENUE,BROOKLYN,NY,11215,850893,7/28/2009,7/10/2015,6/30/2017,40.67227466,-73.97700095,"(40.67227466, -73.97700095)",161 7TH AVE  2ND FLOOR   BROOKLYN   11215
1223067,RESTAURANT WINE,341,RW,New York City,1,KINGS,JUICE PRODUCTIONS INC,PROVINI,1302 8TH AVENUE,13TH & 14TH ST,BROOKLYN,NY,11215,829138,7/24/2009,7/1/2015,6/30/2017,40.66334847,-73.9813047,"(40.66334847, -73.9813047)",1302 8TH AVENUE   BROOKLYN   11215
1223083,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,NY HUDSON GROUP CORP,,601 W 57TH ST,11TH & 12TH AVENUES,NEW YORK,NY,10019,803326,3/17/2010,3/7/2014,2/29/2016,40.77036904,-73.99153165,"(40.77036904, -73.99153165)",601 W 57TH ST   NEW YORK   10019
1223118,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,MILANES SPANISH RESTAURANT INC,MILANES SPANISH RESTAURANT,168 WEST 25TH STREET,,NEW YORK,NY,100107418,829247,7/30/2009,7/1/2015,6/30/2017,40.74037432,-73.9829894,"(40.74037432, -73.9829894)",168 WEST 25TH STREET   NEW YORK   100107418
1223146,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,ACHELOS CORPORATION,706 BAR,706 WASHINGTON AVENUE,ST MARKS AVE AND PROSPECT PLAC,BROOKLYN,NY,11238,834687,6/2/2010,6/1/2014,5/31/2016,40.67683724,-73.96364494,"(40.67683724, -73.96364494)",706 WASHINGTON AVENUE   BROOKLYN   11238
1223197,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,ZUCCA TRATTORIA INC,GALLO NERO,95 7TH AVENUE SOUTH,BARROW ST AND GROVE ST,NEW YORK,NY,10014,851092,8/5/2009,8/1/2015,7/31/2017,40.73279386,-74.00319651,"(40.73279386, -74.00319651)",95 7TH AVENUE SOUTH   NEW YORK   10014
