,address,categories,id,lat,long,name,orig_add,rating,review_count
1117,1370 Lexington Ave,"[Category(name=u'Italian', alias=u'italian')]",lex-restaurant-new-york,40.78233556,-73.95356867,Lex Restaurant,1370 LEXINGTON AVE NEW YORK 10128,3.5,58
1118,110 W 40th St,"[Category(name=u'Japanese', alias=u'japanese'), Category(name=u'Sushi Bars', alias=u'sushi'), Category(name=u'Burgers', alias=u'burgers')]",kobeyaki-new-york-3,40.75387149,-73.98598617,Kobeyaki,108 110 W 40TH ST NEW YORK 10018,3.5,210
1119,377 Park Ave S,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Italian', alias=u'italian'), Category(name=u'Bars', alias=u'bars')]",forcella-new-york-2,40.74231983,-73.98464098,Forcella,373 PARK AVENUE SOUTH NEW YORK 10016,3.5,157
1120,2210 Frederick Douglass Blvd,"[Category(name=u'American (Traditional)', alias=u'tradamerican'), Category(name=u'Lounges', alias=u'lounges'), Category(name=u'Comfort Food', alias=u'comfortfood')]",moca-bar-and-lounge-new-york,40.80634433,-73.95386825,Moca Bar & Lounge,2210 8TH AVENUE NEW YORK 10026,3.0,140
1121,81 S 6th St,"[Category(name=u'Dance Clubs', alias=u'danceclubs')]",bembe-brooklyn,40.7110491,-73.96529901,Bembe,81 S 6TH STREET BROOKLYN 11211,4.0,370
1122,7 W 20th St,"[Category(name=u'Italian', alias=u'italian')]",aleo-restaurant-and-bar-new-york,40.73981346,-73.99118047,Aleo Restaurant & Bar,7 W 20TH STREET NEW YORK 10011,3.5,122
1123,629 Vanderbilt Ave,"[Category(name=u'Bars', alias=u'bars')]",soda-bar-brooklyn,40.67833382,-73.9685465,Soda Bar,629 VANDERBILT AVE BROOKLYN 11236,3.5,293
1124,18 Little W 12th St,"[Category(name=u'Dance Clubs', alias=u'danceclubs')]",cielo-new-york,40.73480779,-73.99506491,Cielo,14 20 LITTLE WEST 12TH STREET NEW YORK 10014,3.0,459
1125,157 Allen St,"[Category(name=u'Lounges', alias=u'lounges')]",copper-and-oak-new-york,40.72114939,-73.98958042,Copper & Oak,163 ALLEN STREET NEW YORK 10002,4.5,54
1126,205 W 57th St,"[Category(name=u'Sandwiches', alias=u'sandwiches'), Category(name=u'Salad', alias=u'salad'), Category(name=u'Breakfast & Brunch', alias=u'breakfast_brunch')]",europa-cafe-new-york-8,40.76569377,-73.98025575,Europa Cafe,205 W 57TH STREET NEW YORK 10019,3.0,117
1127,Chelsea Market,"[Category(name=u'Seafood', alias=u'seafood'), Category(name=u'Seafood Markets', alias=u'seafoodmarkets')]",the-lobster-place-new-york-2,40.74276525,-74.00569141,The Lobster Place,428 W 16TH ST AKA 75 9TH AVE NEW YORK 10011,4.0,912
1128,127 W 43rd St,"[Category(name=u'Bars', alias=u'bars'), Category(name=u'American (Traditional)', alias=u'tradamerican'), Category(name=u'Gastropubs', alias=u'gastropubs')]",heartland-brewery-chophouse-new-york,40.75597487,-73.9845536,Heartland Brewery Chophouse,127 W 43RD ST NEW YORK 10036,3.5,426
1129,557 Manhattan Ave,"[Category(name=u'Bars', alias=u'bars'), Category(name=u'Breakfast & Brunch', alias=u'breakfast_brunch')]",bar-matchless-brooklyn,40.72220096,-73.94996567,Bar Matchless,557 MANHATTAN AVE BROOKLYN 11222,3.5,236
1130,159 Lexington Ave,"[Category(name=u'American (Traditional)', alias=u'tradamerican'), Category(name=u'Breakfast & Brunch', alias=u'breakfast_brunch'), Category(name=u'Bars', alias=u'bars')]",penelope-new-york,40.74382367,-73.98150582,Penelope,159 LEXINGTON AVE NEW YORK 10016,3.5,1760
1131,48 E 7th St,"[Category(name=u'Italian', alias=u'italian')]",via-della-pace-new-york,40.72794971,-73.9882047,Via Della Pace,48 E 7TH STREET NEW YORK 10003,3.5,366
1132,668 Amsterdam Ave,"[Category(name=u'Steakhouses', alias=u'steak'), Category(name=u'Kosher', alias=u'kosher'), Category(name=u'Middle Eastern', alias=u'mideastern')]",talias-steakhouse-and-bar-new-york-4,40.79199958,-73.97193897,Talia's Steakhouse & Bar,668B 670A AMSTERDAM AVE NEW YORK 10025,2.5,198
1133,293 E Houston St,"[Category(name=u'Mexican', alias=u'mexican'), Category(name=u'Spanish', alias=u'spanish'), Category(name=u'Tapas Bars', alias=u'tapas')]",ariels-latin-bistro-new-york,40.72143643,-73.98400039,Ariel's Latin Bistro,293 E HOUSTON STREET NEW YORK 10002,3.0,183
1134,395 Flatbush Avenue Ext,"[Category(name=u'Burgers', alias=u'burgers'), Category(name=u'Fast Food', alias=u'hotdogs')]",mcdonalds-brooklyn-63,40.68993921,-73.98132556,McDonald's,395 FLATBUSH AVE EXTENSION BROOKLYN 11201,1.5,11
